channel_type,all_referrers_grouped,n,total,proportion,std_err,ci_lwr,ci_upr,percentage,on_off_platform,channel_type_referrer,order_var
alternative,other off-platform,8365.266242822994,35500.07859811057,0.2356407808986716,0.002252471597098056,23.122593656835942,24.00556252289838,23.56407808986716,off-platform,alternative.other off-platform,3
other,other off-platform,267965.1509519457,1103901.9927166146,0.24274360651574228,4.080657226659349e-4,24.194379769931704,24.354341533216754,24.274360651574227,off-platform,other.other off-platform,33
mainstream,other on-platform,406.87263916455964,43217.39196700751,0.009414557904724313,0.00046453309330547673,0.8504073041845578,1.0325042767603048,0.9414557904724313,on-platform,mainstream.other on-platform,26
extremist,other on-platform,59.35165415032671,6162.6300110783295,0.00963089688065525,0.001244081582130527,0.7192496979679417,1.2069296781631083,0.963089688065525,on-platform,extremist.other on-platform,16
alternative,other on-platform,404.7881687724177,35500.07859811057,0.011402458381992478,5.635005621891222e-4,1.0297997280101798,1.2506919483883157,1.1402458381992477,on-platform,alternative.other on-platform,6
mainstream,YouTube channel,729.1378231936071,43217.39196700751,0.01687139806470128,6.195144265598385e-4,1.5657149788643996,1.808564634075856,1.6871398064701277,on-platform,mainstream.youtube channel,27
other,other on-platform,23442.61046226882,1103901.9927166146,0.021236133838818817,1.3721810965958367e-4,2.0967186343886035,2.15050813337516,2.1236133838818816,on-platform,other.other on-platform,36
other,YouTube channel,29236.700057071776,1103901.9927166146,0.02648486935431885,1.5282873267011987e-4,2.6185325038285416,2.6784413670352283,2.648486935431885,on-platform,other.youtube channel,37
alternative,YouTube search,1257.8765080622122,35500.07859811057,0.035433062622265865,9.81196237790876e-4,3.350991799619575,3.735620724833598,3.5433062622265865,on-platform,alternative.youtube search,9
alternative,YouTube channel,1286.4113827398403,35500.07859811057,0.03623686012932679,9.918494998169085e-4,3.429283510968565,3.8180885148967927,3.6236860129326787,on-platform,alternative.youtube channel,7
other,YouTube search,43993.88421450507,1103901.9927166146,0.039853070747919966,1.8618062551083262e-4,3.9488156721918735,4.02179847739212,3.9853070747919968,on-platform,other.youtube search,39
mainstream,YouTube search,1869.410397817316,43217.39196700751,0.04325597433654576,9.78569445589423e-4,4.133797822319049,4.517397044990103,4.3255974336545755,on-platform,mainstream.youtube search,29
extremist,YouTube channel,269.74872613745987,6162.6300110783295,0.043771689303518574,0.002606119977866991,3.866369414689927,4.8879684460137875,4.377168930351857,on-platform,extremist.youtube channel,17
extremist,YouTube homepage,340.98404130834746,6162.6300110783295,0.05533092862874669,0.0029123313191775353,4.962275924315872,6.103909801433466,5.5330928628746685,on-platform,extremist.youtube homepage,18
alternative,YouTube homepage,2414.617230894984,35500.07859811057,0.06801723619348543,0.001336284015364136,6.539811952337173,7.063635286359913,6.801723619348543,on-platform,alternative.youtube homepage,8
extremist,YouTube search,450.63739744939033,6162.6300110783295,0.07312420129705927,0.0033163342163531635,6.662418623300706,7.962421636111147,7.312420129705926,on-platform,extremist.youtube search,19
other,YouTube homepage,133535.68875446636,1103901.9927166146,0.1209669786226635,3.103635801964319e-4,12.03586660054785,12.157529123984851,12.096697862266351,on-platform,other.youtube homepage,38
mainstream,YouTube homepage,5266.53002225927,43217.39196700751,0.12186135679542576,0.0015735671173970085,11.877716524532762,12.494554834552389,12.186135679542575,on-platform,mainstream.youtube homepage,28
